Country,Features,Region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Algeria,net generation,Africa,6.683,7.65,8.824,9.615,10.537,11.569,12.214,13.014,14.08,14.449,15.145,16.319,17.199,18.267,18.703,18.09,19.124,19.739,21.448,23.282,23.88952,25.03064,25.99154,27.80964,29.38706,31.9074,33.12352,34.9758,37.83582,36.206,42.9985,48.17578,53.9845,56.3134,60.39972,64.68244,66.75504,71.49546,72.10903,76.685,72.73591277,77.53072719
        Angola,net generation,Africa,0.905,0.906,0.995,1.028,1.028,1.028,1.088,1.097,1.097,1.104,1.169,1.166,1.283,1.332,1.342,1.347,1.377,1.331,1.52,1.3,1.40402,1.59074,1.71668,1.93776,2.18608,2.72998,3.24054,3.1488,4.06368,4.60554,5.31724,5.52336,6.03408,7.97606,9.21666,9.30914,10.203511,10.67604,12.83194,15.4,16.6,16.429392
        Benin,net generation,Africa,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.019,0.022,0.023,0.024,0.048,0.029,0.0487,0.0517,0.0597,0.0677,0.07908,0.06216,0.05934,0.07532,0.0762,0.10064,0.142,0.20498,0.21344,0.12038,0.10816,0.09594,0.04612,0.08848,0.22666,0.31056,0.26004,0.3115,0.19028,0.2017,0.22608,0.24109728
        Botswana,net generation,Africa,0.443,0.502,0.489,0.434,0.445,0.456,0.538,0.846,0.8,0.797,0.852,0.879,1.088,1.027,1.044,1.047,0.759,0.87,1.026,1.043,0.89018,0.9494,0.84224,0.68056,0.73978,0.81498,0.746,0.578,0.552,0.417,0.50008,0.44932,0.33,0.86868,2.17628,2.79104,2.52984,2.8438,2.97076,3.0469,2.05144,2.18234816
        Burkina Faso,net generation,Africa,0.098,0.108,0.115,0.117,0.113,0.115,0.122,0.133,0.143,0.153,0.174,0.182,0.19,0.205,0.206,0.232,0.263,0.282,0.312,0.348,0.318,0.327,0.36492,0.444662,0.472234,0.489468,0.519525,0.58152,0.589033,0.664416,0.6343,0.69348,0.86834,0.98268,1.11808,1.43986,1.5509,1.64602,1.6464,1.72552,1.647133174,1.761209666
        Burundi,net generation,Africa,0.003,0.004,0.004,0.025,0.041,0.047,0.062,0.095,0.104,0.103,0.109,0.112,0.106,0.11,0.116,0.119,0.118,0.121,0.111,0.099,0.1,0.116,0.128,0.102,0.092,0.097,0.094,0.118,0.113,0.122,0.1489,0.147,0.15,0.174,0.187,0.18,0.184,0.279,0.268878,0.355946,0.350520748,0.357991644
        Cabo Verde,net generation,Africa,0.015,0.015,0.021,0.022,0.026,0.027,0.028,0.031,0.033,0.033,0.039,0.05,0.057,0.066,0.075,0.078,0.083,0.088,0.096,0.11,0.138,0.155,0.171,0.187,0.206,0.222,0.236,0.253,0.27,0.281,0.325,0.346,0.359,0.385,0.408,0.401,0.423,0.459234,0.459059,0.463,0.433796156,0.45688711
        Cameroon,net generation,Africa,1.432,1.883,2.13,2.096,2.191,2.381,2.355,2.362,2.553,2.668,2.675,2.71,2.695,2.699,2.738,2.811,2.928,3.095,3.134,3.34,3.44372,3.50198,3.26092,3.63964,4.0596,3.95208,4.38974,5.0498,5.47968,5.57024,5.7036,5.73125,5.3116,6.15693,6.66283,7.69155,6.92157,7.8328,8.28183,8.35484,8.297891475,8.045474929
        Central African Republic,net generation,Africa,0.067,0.066,0.07,0.068,0.072,0.077,0.093,0.091,0.092,0.092,0.093,0.092,0.094,0.095,0.099,0.1,0.102,0.104,0.102,0.103,0.105,0.106,0.106,0.107,0.149,0.159,0.166,0.16,0.16,0.159,0.1591,0.1713,0.1744,0.1384,0.1694,0.1694,0.1704,0.1514,0.151,0.15094,0.151,0.151064
        Chad,net generation,Africa,0.044,0.048,0.049,0.048,0.049,0.051,0.065,0.079,0.076,0.077,0.085,0.082,0.079,0.081,0.08,0.084,0.085,0.085,0.086,0.086,0.086,0.094,0.101,0.108,0.115,0.121,0.122,0.121,0.141,0.172,0.188,0.19082,0.2299,0.26196,0.27794,0.2819,0.29466,0.29936,0.30664,0.30946,0.294781188,0.312431184
